12-01-2017,00:06:02, 281.2 , 96.2 , 88.1 , 132.6 , 180.9 , 477 , 0 , 0 , 164.1 , 258 , 257.9 , 0 , 0 , 60.4 , 46.9 , 3 , 69.6 , 0 , 70.6 , 40.6 , 10.57 , 0 , 11.33 , 12.07 , 35 , 19 , 20 , 9 , 60.05 , .027 ,8848,0080,01F1, 80.5 , 21 , 0 , 0 , 0 , 105 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:07:02, 268.4 , 108.9 , 91.6 , 136.4 , 162.1 , 461.8 , 0 , 0 , 164 , 258 , 257.9 , 0 , 0 , 59.7 , 47 , 3 , 58.1 , 0 , 62.8 , 41.1 , 9.39 , 0 , 10.23 , 11.28 , 35 , 19 , 20 , 9 , 59.99 , .027 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 109 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:08:01, 279.6 , 134.3 , 94.1 , 146.3 , 145.7 , 447.9 , 0 , 0 , 164 , 258 , 257.9 , 0 , 0 , 59.2 , 43.5 , 3 , 50.8 , 0 , 55.4 , 39.4 , 9.38 , 0 , 9.85 , 11.08 , 35 , 19 , 20 , 9 , 59.94 , .035 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 135 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:09:02, 277.4 , 132.5 , 90.4 , 142.8 , 146 , 444.5 , 0 , 0 , 164.6 , 258 , 257.9 , 0 , 0 , 58.5 , 44.2 , 3 , 54.3 , 0 , 52.8 , 38.8 , 9.26 , 0 , 9.74 , 11.17 , 35 , 19 , 20 , 9 , 59.98 , .029 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 137 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:10:02, 257.6 , 96.2 , 80.9 , 140.3 , 172.6 , 461.5 , 0 , 0 , 164.9 , 258 , 257.9 , 0 , 0 , 58 , 44.7 , 3 , 59.6 , 0 , 71.6 , 41.3 , 8.97 , 0 , 10.05 , 11.57 , 35 , 19 , 20 , 9 , 60.08 , .04 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 101 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:11:02, 253.8 , 81.8 , 76.4 , 136.8 , 171.4 , 455.8 , 0 , 0 , 164.2 , 258 , 257.9 , 0 , 0 , 59.9 , 45.2 , 3 , 61.5 , 0 , 70.2 , 39.6 , 9.13 , 0 , 10.43 , 11.44 , 35 , 19 , 20 , 9 , 60.03 , .034 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 86 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:12:02, 257.3 , 108 , 78.9 , 134.3 , 149.8 , 436.7 , 0 , 0 , 163.9 , 258 , 257.9 , 0 , 0 , 59.4 , 45.7 , 3 , 58.5 , 0 , 54 , 37.2 , 9.52 , 0 , 10.09 , 10.81 , 35 , 19 , 20 , 9 , 60.02 , .038 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 111 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:13:02, 256.8 , 91 , 82.4 , 146.4 , 169.4 , 459.8 , 0 , 0 , 164.1 , 258 , 257.9 , 0 , 0 , 58.7 , 40.2 , 3 , 66.2 , 0 , 70.6 , 32.4 , 8.91 , 0 , 10.01 , 11.24 , 35 , 19 , 20 , 9 , 60.03 , .024 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 94 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:14:01, 250.2 , 82.6 , 74 , 143.9 , 173.7 , 455.8 , 0 , 0 , 164.2 , 258 , 257.9 , 0 , 0 , 59.6 , 40.7 , 3 , 64.3 , 0 , 71.8 , 37.5 , 9.78 , 0 , 10.78 , 11.52 , 35 , 19 , 20 , 9 , 60.04 , .038 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 82 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:15:02, 279.3 , 112 , 77.5 , 140.4 , 169.2 , 454.8 , 0 , 0 , 165 , 258 , 257.9 , 0 , 0 , 61.5 , 41.4 , 3 , 66.7 , 0 , 63 , 39.4 , 9.84 , 0 , 10.66 , 11.4 , 35 , 19 , 20 , 9 , 60.06 , .08 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 120 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:16:01, 258.1 , 77.4 , 71.7 , 137.9 , 183.1 , 462.8 , 0 , 0 , 165.2 , 258 , 257.9 , 0 , 0 , 61 , 41.9 , 3 , 72.4 , 0 , 72.5 , 38.1 , 10.01 , 0 , 11.06 , 11.92 , 35 , 19 , 20 , 9 , 60.03 , .029 ,8848,0080,01F1, 80.9 , 21 , 0 , 0 , 0 , 82 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:17:02, 264.7 , 101.5 , 73.8 , 144.6 , 154.5 , 436.4 , 0 , 0 , 164.5 , 258 , 257.9 , 0 , 0 , 61.7 , 42.6 , 3 , 58.8 , 0 , 56.2 , 39.4 , 9.95 , 0 , 10.6 , 11.38 , 35 , 19 , 20 , 9 , 60.04 , .03 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 109 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:18:02, 254.4 , 117.6 , 76.3 , 142.1 , 136.1 , 420.4 , 0 , 0 , 164.3 , 258 , 257.9 , 0 , 0 , 61.2 , 43.1 , 3 , 47 , 0 , 51.6 , 37.5 , 10.09 , 0 , 10.5 , 11.28 , 35 , 19 , 20 , 9 , 60.03 , .032 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 126 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:19:02, 264.7 , 100.6 , 79.8 , 138.6 , 162.8 , 450.7 , 0 , 0 , 163.9 , 258 , 257.9 , 0 , 0 , 60.5 , 43.8 , 3 , 61.8 , 0 , 61.9 , 39 , 9.6 , 0 , 10.55 , 11.5 , 35 , 19 , 20 , 9 , 60.07 , .024 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 107 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:20:02, 267.4 , 98.8 , 82.3 , 136.1 , 170.4 , 460.8 , 0 , 0 , 164.4 , 258 , 257.9 , 0 , 0 , 60 , 44.3 , 3 , 65.7 , 0 , 65 , 39.6 , 9.73 , 0 , 10.94 , 11.75 , 35 , 19 , 20 , 9 , 60.04 , .021 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 103 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:21:01, 282.5 , 107.1 , 85.8 , 140.2 , 170 , 463.8 , 0 , 0 , 164.6 , 258 , 257.9 , 0 , 0 , 59.3 , 43.9 , 3 , 62.5 , 0 , 68.9 , 38.5 , 9.82 , 0 , 10.88 , 11.65 , 35 , 19 , 20 , 9 , 59.98 , .048 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 112 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:22:02, 286.7 , 114.1 , 88.3 , 137.7 , 168 , 464.3 , 0 , 0 , 164.1 , 258 , 257.9 , 0 , 0 , 59.3 , 44.4 , 3 , 64.2 , 0 , 64.9 , 38.7 , 10.13 , 0 , 11.33 , 11.94 , 35 , 19 , 20 , 9 , 60 , .029 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 116 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:23:02, 272.7 , 105.4 , 91.8 , 134.2 , 165.2 , 465.1 , 0 , 0 , 164.2 , 258 , 257.9 , 0 , 0 , 60.2 , 45.1 , 3 , 65.8 , 0 , 59.9 , 39.5 , 10.27 , 0 , 10.73 , 11.36 , 35 , 19 , 20 , 9 , 60.01 , .026 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 107 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:24:02, 268.3 , 98.8 , 94.3 , 133.8 , 166.3 , 468.7 , 0 , 0 , 164.9 , 258 , 257.9 , 0 , 0 , 59.7 , 45.6 , 3 , 62.4 , 0 , 65.7 , 38.1 , 9.64 , 0 , 10.62 , 11.53 , 35 , 19 , 20 , 9 , 60.02 , .035 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 107 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:25:02, 283.5 , 127.7 , 83.2 , 130.8 , 153.2 , 444.5 , 0 , 0 , 164.5 , 258 , 257.9 , 0 , 0 , 59 , 46.3 , 3 , 56.8 , 0 , 58.9 , 37.4 , 9.83 , 0 , 10.56 , 11.2 , 35 , 19 , 20 , 9 , 59.96 , .027 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 133 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:26:02, 233.9 , 82.2 , 76.6 , 145.8 , 154.8 , 439.4 , 0 , 0 , 164.6 , 258 , 257.9 , 0 , 0 , 58.5 , 37.5 , 3 , 55.2 , 0 , 65 , 34.5 , 9.13 , 0 , 10.13 , 11.24 , 35 , 19 , 20 , 9 , 60.07 , .051 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 86 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:27:02, 261.6 , 89.2 , 69.6 , 142.3 , 174.3 , 452 , 0 , 0 , 164.3 , 258 , 257.9 , 0 , 0 , 60.4 , 38.2 , 3 , 62.4 , 0 , 71.4 , 40.5 , 10.04 , 0 , 10.89 , 11.8 , 35 , 19 , 20 , 9 , 59.99 , .04 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 94 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:28:02, 254.3 , 108 , 72.1 , 139.8 , 155.7 , 435.8 , 0 , 0 , 164.9 , 258 , 257.9 , 0 , 0 , 59.9 , 38.7 , 3 , 50 , 0 , 65.6 , 40 , 9.76 , 0 , 10.92 , 11.66 , 35 , 19 , 20 , 9 , 60.21 , .075 ,8848,0000,01F1, 80 , 21 , 0 , 0 , 0 , 112 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:29:02, 240 , 87 , 71.6 , 136.3 , 162.4 , 442 , 0 , 0 , 164.5 , 258 , 257.9 , 0 , 0 , 59.2 , 39.4 , 3 , 62.4 , 0 , 60.7 , 39.2 , 9.12 , 0 , 10.44 , 11.29 , 35 , 19 , 20 , 9 , 60.07 , .03 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 92 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:30:01, 259.5 , 80.5 , 66.8 , 133.8 , 177.7 , 452.6 , 0 , 0 , 164.1 , 258 , 257.9 , 0 , 0 , 59.2 , 39.9 , 3 , 69.2 , 0 , 69.1 , 39.3 , 9.44 , 0 , 10.72 , 11.64 , 35 , 19 , 20 , 9 , 59.99 , .031 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 82 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:31:02, 262.3 , 73.9 , 66.1 , 130.3 , 182.6 , 456.7 , 0 , 0 , 163.6 , 258 , 257.9 , 0 , 0 , 61.3 , 40.6 , 3 , 72 , 0 , 73.5 , 37 , 9.69 , 0 , 11.27 , 11.96 , 35 , 19 , 20 , 9 , 59.97 , .046 ,8848,0080,01F1, 81.5 , 21 , 0 , 0 , 0 , 79 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:32:02, 271.5 , 91.4 , 67.6 , 127.8 , 169.7 , 445.3 , 0 , 0 , 164.5 , 258 , 257.9 , 0 , 0 , 61.3 , 41.1 , 3 , 69.3 , 0 , 67 , 33.3 , 10.05 , 0 , 11.42 , 12.14 , 35 , 19 , 20 , 9 , 59.94 , .039 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 98 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:33:02, 272.5 , 108.5 , 71.1 , 124.3 , 164.4 , 443.5 , 0 , 0 , 164.1 , 258 , 257.9 , 0 , 0 , 60.6 , 41.8 , 3 , 63.7 , 0 , 61.3 , 39.3 , 10.23 , 0 , 11.43 , 11.91 , 35 , 19 , 20 , 9 , 60.12 , .063 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 107 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:34:02, 232.4 , 69.5 , 67.5 , 121.8 , 159.2 , 434.8 , 0 , 0 , 164.4 , 258 , 257.9 , 0 , 0 , 61.6 , 42.3 , 3 , 59.6 , 0 , 73.7 , 25.9 , 10.38 , 0 , 11.4 , 12.04 , 35 , 19 , 20 , 9 , 60.05 , .046 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 77 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:35:02, 233.4 , 80.5 , 58 , 118.3 , 162.4 , 428.5 , 0 , 0 , 164.3 , 258 , 257.9 , 0 , 0 , 61.5 , 43 , 3 , 65.1 , 0 , 59.6 , 37.6 , 10.88 , 0 , 11.71 , 11.94 , 35 , 19 , 20 , 9 , 60.02 , .044 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 81 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:36:01, 250.1 , 71.3 , 60.4 , 115.8 , 178.9 , 447.4 , 0 , 0 , 163.9 , 258 , 257.9 , 0 , 0 , 61 , 43.5 , 3 , 71.4 , 0 , 68.2 , 39.2 , 10.31 , 0 , 11.43 , 12.08 , 35 , 19 , 20 , 9 , 60.01 , .031 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 73 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:37:01, 286.5 , 109.8 , 63.9 , 112.3 , 175.5 , 447.4 , 0 , 0 , 162.7 , 258 , 257.9 , 0 , 0 , 60.5 , 44.2 , 3 , 71.1 , 0 , 63.2 , 41 , 10.28 , 0 , 11.45 , 12.01 , 35 , 19 , 20 , 9 , 60.04 , .049 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 107 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:38:02, 258.2 , 87 , 66.4 , 112.7 , 177 , 451.4 , 0 , 0 , 162.8 , 258 , 257.9 , 0 , 0 , 60 , 44.7 , 3 , 68 , 0 , 70.7 , 38.1 , 10.33 , 0 , 11.23 , 12.06 , 35 , 19 , 20 , 9 , 60.04 , .027 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 90 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:39:02, 264 , 101.5 , 69.9 , 114.1 , 162.7 , 440.7 , 0 , 0 , 163.4 , 258 , 257.9 , 0 , 0 , 59.3 , 45.4 , 3 , 58.8 , 0 , 63.6 , 40.3 , 9.78 , 0 , 10.91 , 11.79 , 35 , 19 , 20 , 9 , 59.98 , .031 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 105 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:40:02, 260.8 , 87.5 , 72.4 , 115.7 , 169.3 , 449.8 , 0 , 0 , 162.3 , 258 , 257.9 , 0 , 0 , 61.3 , 45.9 , 3 , 62.1 , 0 , 67 , 40.1 , 10.37 , 0 , 11.23 , 11.73 , 35 , 19 , 20 , 9 , 60.02 , .055 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 99 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:41:02, 253.7 , 96.6 , 75.9 , 113.3 , 155.6 , 439.6 , 0 , 0 , 162.8 , 258 , 257.9 , 0 , 0 , 60.6 , 46.6 , 3 , 64.5 , 0 , 51.5 , 39.5 , 10 , 0 , 10.95 , 11.44 , 35 , 19 , 20 , 9 , 60.08 , .026 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 105 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:42:02, 290.2 , 108.9 , 78.2 , 122.1 , 168.1 , 454.2 , 0 , 0 , 163.1 , 258 , 257.9 , 0 , 0 , 60.1 , 45.8 , 3 , 69.8 , 0 , 60.3 , 37.9 , 9.94 , 0 , 10.82 , 11.37 , 35 , 19 , 20 , 9 , 59.99 , .039 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 114 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:43:01, 239.8 , 88.3 , 81.7 , 122.8 , 152.4 , 442.1 , 0 , 0 , 163 , 258 , 257.9 , 0 , 0 , 59.4 , 46.5 , 3 , 54.9 , 0 , 67.7 , 29.8 , 9.52 , 0 , 10.59 , 11.67 , 35 , 19 , 20 , 9 , 60.02 , .041 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 92 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:44:02, 266.7 , 97.5 , 80 , 120.3 , 166.4 , 454.4 , 0 , 0 , 162.5 , 258 , 257.9 , 0 , 0 , 60.1 , 47 , 3 , 69.9 , 0 , 59.5 , 36.9 , 10.07 , 0 , 10.86 , 11.64 , 35 , 19 , 20 , 9 , 59.96 , .045 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 103 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
DATE,TIME,Village Load,Diesel kW,Diesel Min kW,Diesel Max kW,Wind Output,Wind Allowed,Dispatch Wait,SLC Load,SLC Temp,SLC Fixed kW,SLC Thermal kW,SLC Max kW,SLC Avg kW,Wind Max kW,Wind Min kW,# Turbines On-Line,WTG1 Output,WTG2 Output,WTG3 Output,WTG4 Output,WTG1 WindSpd,WTG2 WindSpd,WTG3 WindSpd,WTG4 WindSpd,WTG1 Starts,WTG2 Starts,WTG3 Starts,WTG4 Starts,Frequency,Instability,Wind status,SLC status,Diesel status,System Wind Allowed,Outage Count,ILC kW,ILC Temp,Diesel1 kW,Diesel2 kW,Diesel3 kW,Diesel4 kW,WTG1 Faults L,WTG1 Faults H,WTG2 Faults L,WTG2 Faults H,WTG3 Faults L,WTG3 Faults H,WTG3 Faults L,WTG4 Faults H,ILC Status,ILC kWhrs
12-01-2017,00:45:02, 260.2 , 125.1 , 83.5 , 153.2 , 144.7 , 436.2 , 0 , 0 , 163.6 , 258 , 257.9 , 0 , 0 , 59.4 , 41.2 , 3 , 54.2 , 0 , 51.4 , 39 , 9.28 , 0 , 10.11 , 11.15 , 35 , 19 , 20 , 9 , 60.02 , .027 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 129 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:46:02, 249.7 , 99.3 , 86 , 150.7 , 161.3 , 455.3 , 0 , 0 , 162.9 , 258 , 257.9 , 0 , 0 , 58.9 , 41.7 , 3 , 62.3 , 0 , 59.7 , 39.2 , 9.02 , 0 , 10.01 , 11.01 , 35 , 19 , 20 , 9 , 60.01 , .04 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 101 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:47:02, 285.5 , 107.6 , 89.5 , 147.2 , 175.8 , 473.4 , 0 , 0 , 163.1 , 258 , 257.9 , 0 , 0 , 58.6 , 40.4 , 3 , 69.8 , 0 , 66 , 39.8 , 9.1 , 0 , 9.92 , 11.07 , 35 , 19 , 20 , 9 , 60 , .03 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 114 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
12-01-2017,00:48:02, 253.8 , 112.4 , 92 , 144.7 , 149.3 , 449.4 , 0 , 0 , 163 , 258 , 257.9 , 0 , 0 , 58.1 , 40.9 , 3 , 49 , 0 , 61.1 , 39.2 , 8.8 , 0 , 9.75 , 11.07 , 35 , 19 , 20 , 9 , 60.07 , .026 ,8848,0080,01F1, 80 , 21 , 0 , 0 , 0 , 116 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 128 , 8154 
