9/27/2017 1:43:45 PM 
006620080101014 Wrote: C:\NRG\ScaledData\006620080101014.txt
006620080102015 Wrote: C:\NRG\ScaledData\006620080102015.txt
006620080103016 Wrote: C:\NRG\ScaledData\006620080103016.txt
006620080104017 Wrote: C:\NRG\ScaledData\006620080104017.txt
006620080105018 Wrote: C:\NRG\ScaledData\006620080105018.txt
006620080106019 Wrote: C:\NRG\ScaledData\006620080106019.txt
006620080107020 Wrote: C:\NRG\ScaledData\006620080107020.txt
006620080108021 Wrote: C:\NRG\ScaledData\006620080108021.txt
006620080109022 Wrote: C:\NRG\ScaledData\006620080109022.txt
006620080110023 Wrote: C:\NRG\ScaledData\006620080110023.txt
006620080111024 Wrote: C:\NRG\ScaledData\006620080111024.txt
006620080112025 Wrote: C:\NRG\ScaledData\006620080112025.txt
006620080113026 Wrote: C:\NRG\ScaledData\006620080113026.txt
006620080114027 Wrote: C:\NRG\ScaledData\006620080114027.txt
006620080115028 Wrote: C:\NRG\ScaledData\006620080115028.txt
006620080116029 Wrote: C:\NRG\ScaledData\006620080116029.txt
006620080117030 Wrote: C:\NRG\ScaledData\006620080117030.txt
006620080118031 Wrote: C:\NRG\ScaledData\006620080118031.txt
006620080119032 Wrote: C:\NRG\ScaledData\006620080119032.txt
006620080120033 Wrote: C:\NRG\ScaledData\006620080120033.txt
006620080121034 Wrote: C:\NRG\ScaledData\006620080121034.txt
006620080122035 Wrote: C:\NRG\ScaledData\006620080122035.txt
006620080123036 Wrote: C:\NRG\ScaledData\006620080123036.txt
006620080124037 Wrote: C:\NRG\ScaledData\006620080124037.txt
006620080125038 Wrote: C:\NRG\ScaledData\006620080125038.txt
006620080126039 Wrote: C:\NRG\ScaledData\006620080126039.txt
006620080127040 Wrote: C:\NRG\ScaledData\006620080127040.txt
006620080128041 Wrote: C:\NRG\ScaledData\006620080128041.txt
006620080129042 Wrote: C:\NRG\ScaledData\006620080129042.txt
006620080130043 Wrote: C:\NRG\ScaledData\006620080130043.txt
006620080131044 Wrote: C:\NRG\ScaledData\006620080131044.txt
006620080201045 Wrote: C:\NRG\ScaledData\006620080201045.txt
006620080202046 Wrote: C:\NRG\ScaledData\006620080202046.txt
006620080203047 Wrote: C:\NRG\ScaledData\006620080203047.txt
006620080204048 Wrote: C:\NRG\ScaledData\006620080204048.txt
006620080205049 Wrote: C:\NRG\ScaledData\006620080205049.txt
006620080206050 Wrote: C:\NRG\ScaledData\006620080206050.txt
006620080207051 Wrote: C:\NRG\ScaledData\006620080207051.txt
006620080208052 Wrote: C:\NRG\ScaledData\006620080208052.txt
006620080209053 Wrote: C:\NRG\ScaledData\006620080209053.txt
006620080210054 Wrote: C:\NRG\ScaledData\006620080210054.txt
006620080211055 Wrote: C:\NRG\ScaledData\006620080211055.txt
006620080212056 Wrote: C:\NRG\ScaledData\006620080212056.txt
006620080213057 Wrote: C:\NRG\ScaledData\006620080213057.txt
006620080214058 Wrote: C:\NRG\ScaledData\006620080214058.txt
006620080215059 Wrote: C:\NRG\ScaledData\006620080215059.txt
006620080216060 Wrote: C:\NRG\ScaledData\006620080216060.txt
006620080217061 Wrote: C:\NRG\ScaledData\006620080217061.txt
006620080218062 Wrote: C:\NRG\ScaledData\006620080218062.txt
006620080219063 Wrote: C:\NRG\ScaledData\006620080219063.txt
006620080220064 Wrote: C:\NRG\ScaledData\006620080220064.txt
006620080221065 Wrote: C:\NRG\ScaledData\006620080221065.txt
006620080222066 Wrote: C:\NRG\ScaledData\006620080222066.txt
006620080223067 Wrote: C:\NRG\ScaledData\006620080223067.txt
006620080224068 Wrote: C:\NRG\ScaledData\006620080224068.txt
006620080225069 Wrote: C:\NRG\ScaledData\006620080225069.txt
006620080226070 Wrote: C:\NRG\ScaledData\006620080226070.txt
006620080227071 Wrote: C:\NRG\ScaledData\006620080227071.txt
006620080228072 Wrote: C:\NRG\ScaledData\006620080228072.txt
006620080229073 Wrote: C:\NRG\ScaledData\006620080229073.txt
006620080301074 Wrote: C:\NRG\ScaledData\006620080301074.txt
006620080302075 Wrote: C:\NRG\ScaledData\006620080302075.txt
006620080303076 Wrote: C:\NRG\ScaledData\006620080303076.txt
006620080304077 Wrote: C:\NRG\ScaledData\006620080304077.txt
006620080305078 Wrote: C:\NRG\ScaledData\006620080305078.txt
006620080306079 Wrote: C:\NRG\ScaledData\006620080306079.txt
006620080307080 Wrote: C:\NRG\ScaledData\006620080307080.txt
006620080308081 Wrote: C:\NRG\ScaledData\006620080308081.txt
006620080309082 Wrote: C:\NRG\ScaledData\006620080309082.txt
006620080310083 Wrote: C:\NRG\ScaledData\006620080310083.txt
006620080311084 Wrote: C:\NRG\ScaledData\006620080311084.txt
006620080312085 Wrote: C:\NRG\ScaledData\006620080312085.txt
006620080313086 Wrote: C:\NRG\ScaledData\006620080313086.txt
006620080314087 Wrote: C:\NRG\ScaledData\006620080314087.txt
006620080315088 Wrote: C:\NRG\ScaledData\006620080315088.txt
006620080316089 Wrote: C:\NRG\ScaledData\006620080316089.txt
006620080317090 Wrote: C:\NRG\ScaledData\006620080317090.txt
006620080318091 Wrote: C:\NRG\ScaledData\006620080318091.txt
006620080319092 Wrote: C:\NRG\ScaledData\006620080319092.txt
006620080320093 Wrote: C:\NRG\ScaledData\006620080320093.txt
006620080321094 Wrote: C:\NRG\ScaledData\006620080321094.txt
006620080322095 Wrote: C:\NRG\ScaledData\006620080322095.txt
006620080323096 Wrote: C:\NRG\ScaledData\006620080323096.txt
006620080324097 Wrote: C:\NRG\ScaledData\006620080324097.txt
006620080325098 Wrote: C:\NRG\ScaledData\006620080325098.txt
006620080326099 Wrote: C:\NRG\ScaledData\006620080326099.txt
006620080327100 Wrote: C:\NRG\ScaledData\006620080327100.txt
006620080328101 Wrote: C:\NRG\ScaledData\006620080328101.txt
006620080329102 Wrote: C:\NRG\ScaledData\006620080329102.txt
006620080330103 Wrote: C:\NRG\ScaledData\006620080330103.txt
006620080331104 Wrote: C:\NRG\ScaledData\006620080331104.txt
006620080401105 Wrote: C:\NRG\ScaledData\006620080401105.txt
006620080402106 Wrote: C:\NRG\ScaledData\006620080402106.txt
006620080403107 Wrote: C:\NRG\ScaledData\006620080403107.txt
006620080404108 Wrote: C:\NRG\ScaledData\006620080404108.txt
006620080405109 Wrote: C:\NRG\ScaledData\006620080405109.txt
006620080406110 Wrote: C:\NRG\ScaledData\006620080406110.txt
006620080407111 Wrote: C:\NRG\ScaledData\006620080407111.txt
006620080408112 Wrote: C:\NRG\ScaledData\006620080408112.txt
006620080409113 Wrote: C:\NRG\ScaledData\006620080409113.txt
006620080410114 Wrote: C:\NRG\ScaledData\006620080410114.txt
006620080411115 Wrote: C:\NRG\ScaledData\006620080411115.txt
006620080412116 Wrote: C:\NRG\ScaledData\006620080412116.txt
006620080413117 Wrote: C:\NRG\ScaledData\006620080413117.txt
006620080414008 Wrote: C:\NRG\ScaledData\006620080414008.txt
006620080414118 Wrote: C:\NRG\ScaledData\006620080414118.txt
006620080415009 Wrote: C:\NRG\ScaledData\006620080415009.txt
006620080416010 Wrote: C:\NRG\ScaledData\006620080416010.txt
006620080417011 Wrote: C:\NRG\ScaledData\006620080417011.txt
006620080418012 Wrote: C:\NRG\ScaledData\006620080418012.txt
006620080419013 Wrote: C:\NRG\ScaledData\006620080419013.txt
006620080420014 Wrote: C:\NRG\ScaledData\006620080420014.txt
006620080421015 Wrote: C:\NRG\ScaledData\006620080421015.txt
006620080422016 Wrote: C:\NRG\ScaledData\006620080422016.txt
006620080423017 Wrote: C:\NRG\ScaledData\006620080423017.txt
006620080424018 Wrote: C:\NRG\ScaledData\006620080424018.txt
006620080425019 Wrote: C:\NRG\ScaledData\006620080425019.txt
006620080426020 Wrote: C:\NRG\ScaledData\006620080426020.txt
006620080427021 Wrote: C:\NRG\ScaledData\006620080427021.txt
006620080428022 Wrote: C:\NRG\ScaledData\006620080428022.txt
006620080429023 Wrote: C:\NRG\ScaledData\006620080429023.txt
006620080430024 Wrote: C:\NRG\ScaledData\006620080430024.txt
006620080501025 Wrote: C:\NRG\ScaledData\006620080501025.txt
006620080502026 Wrote: C:\NRG\ScaledData\006620080502026.txt
006620080503027 Wrote: C:\NRG\ScaledData\006620080503027.txt
006620080504028 Wrote: C:\NRG\ScaledData\006620080504028.txt
006620080505029 Wrote: C:\NRG\ScaledData\006620080505029.txt
006620080506030 Wrote: C:\NRG\ScaledData\006620080506030.txt
006620080507031 Wrote: C:\NRG\ScaledData\006620080507031.txt
006620080508032 Wrote: C:\NRG\ScaledData\006620080508032.txt
006620080509033 Wrote: C:\NRG\ScaledData\006620080509033.txt
006620080510034 Wrote: C:\NRG\ScaledData\006620080510034.txt
006620080511035 Wrote: C:\NRG\ScaledData\006620080511035.txt
006620080512036 Wrote: C:\NRG\ScaledData\006620080512036.txt
006620080513037 Wrote: C:\NRG\ScaledData\006620080513037.txt
006620080514038 Wrote: C:\NRG\ScaledData\006620080514038.txt
006620080515039 Wrote: C:\NRG\ScaledData\006620080515039.txt
006620080516040 Wrote: C:\NRG\ScaledData\006620080516040.txt
006620080517041 Wrote: C:\NRG\ScaledData\006620080517041.txt
006620080518042 Wrote: C:\NRG\ScaledData\006620080518042.txt
006620080519043 Wrote: C:\NRG\ScaledData\006620080519043.txt
006620080520044 Wrote: C:\NRG\ScaledData\006620080520044.txt
006620080521045 Wrote: C:\NRG\ScaledData\006620080521045.txt
006620080522046 Wrote: C:\NRG\ScaledData\006620080522046.txt
006620080523047 Wrote: C:\NRG\ScaledData\006620080523047.txt
006620080524048 Wrote: C:\NRG\ScaledData\006620080524048.txt
006620080525049 Wrote: C:\NRG\ScaledData\006620080525049.txt
006620080526050 Wrote: C:\NRG\ScaledData\006620080526050.txt
006620080527051 Wrote: C:\NRG\ScaledData\006620080527051.txt
006620080528052 Wrote: C:\NRG\ScaledData\006620080528052.txt
006620080529053 Wrote: C:\NRG\ScaledData\006620080529053.txt
006620080530054 Wrote: C:\NRG\ScaledData\006620080530054.txt
006620080531055 Wrote: C:\NRG\ScaledData\006620080531055.txt
006620080601056 Wrote: C:\NRG\ScaledData\006620080601056.txt
006620080602057 Wrote: C:\NRG\ScaledData\006620080602057.txt
006620080603058 Wrote: C:\NRG\ScaledData\006620080603058.txt
006620080604059 Wrote: C:\NRG\ScaledData\006620080604059.txt
006620080605060 Wrote: C:\NRG\ScaledData\006620080605060.txt
006620080606061 Wrote: C:\NRG\ScaledData\006620080606061.txt
006620080607062 Wrote: C:\NRG\ScaledData\006620080607062.txt
006620080608063 Wrote: C:\NRG\ScaledData\006620080608063.txt
006620080609064 Wrote: C:\NRG\ScaledData\006620080609064.txt
006620080610065 Wrote: C:\NRG\ScaledData\006620080610065.txt
006620080611066 Wrote: C:\NRG\ScaledData\006620080611066.txt
006620080612067 Wrote: C:\NRG\ScaledData\006620080612067.txt
006620080613068 Wrote: C:\NRG\ScaledData\006620080613068.txt
006620080614069 Wrote: C:\NRG\ScaledData\006620080614069.txt
006620080615070 Wrote: C:\NRG\ScaledData\006620080615070.txt
006620080616071 Wrote: C:\NRG\ScaledData\006620080616071.txt
006620080617072 Wrote: C:\NRG\ScaledData\006620080617072.txt
006620080618073 Wrote: C:\NRG\ScaledData\006620080618073.txt
006620080619074 Wrote: C:\NRG\ScaledData\006620080619074.txt
006620080620075 Wrote: C:\NRG\ScaledData\006620080620075.txt
006620080621076 Wrote: C:\NRG\ScaledData\006620080621076.txt
006620080622077 Wrote: C:\NRG\ScaledData\006620080622077.txt
006620080623078 Wrote: C:\NRG\ScaledData\006620080623078.txt
006620080624079 Wrote: C:\NRG\ScaledData\006620080624079.txt
006620080625080 Wrote: C:\NRG\ScaledData\006620080625080.txt
006620080626081 Wrote: C:\NRG\ScaledData\006620080626081.txt
006620080627082 Wrote: C:\NRG\ScaledData\006620080627082.txt
006620080628083 Wrote: C:\NRG\ScaledData\006620080628083.txt
006620080629084 Wrote: C:\NRG\ScaledData\006620080629084.txt
006620080630085 Wrote: C:\NRG\ScaledData\006620080630085.txt
006620080701086 Wrote: C:\NRG\ScaledData\006620080701086.txt
006620080702087 Wrote: C:\NRG\ScaledData\006620080702087.txt
006620080703088 Wrote: C:\NRG\ScaledData\006620080703088.txt
006620080704089 Wrote: C:\NRG\ScaledData\006620080704089.txt
006620080705090 Wrote: C:\NRG\ScaledData\006620080705090.txt
006620080706091 Wrote: C:\NRG\ScaledData\006620080706091.txt
006620080707092 Wrote: C:\NRG\ScaledData\006620080707092.txt
006620080708093 Wrote: C:\NRG\ScaledData\006620080708093.txt
006620080709094 Wrote: C:\NRG\ScaledData\006620080709094.txt
006620080710095 Wrote: C:\NRG\ScaledData\006620080710095.txt
006620080711096 Wrote: C:\NRG\ScaledData\006620080711096.txt
006620080712097 Wrote: C:\NRG\ScaledData\006620080712097.txt
006620080713098 Wrote: C:\NRG\ScaledData\006620080713098.txt
006620080714099 Wrote: C:\NRG\ScaledData\006620080714099.txt
006620080715100 Wrote: C:\NRG\ScaledData\006620080715100.txt
006620080716101 Wrote: C:\NRG\ScaledData\006620080716101.txt
006620080717102 Wrote: C:\NRG\ScaledData\006620080717102.txt
006620080718103 Wrote: C:\NRG\ScaledData\006620080718103.txt
006620080719104 Wrote: C:\NRG\ScaledData\006620080719104.txt
006620080720105 Wrote: C:\NRG\ScaledData\006620080720105.txt
006620080721106 Wrote: C:\NRG\ScaledData\006620080721106.txt
006620080722107 Wrote: C:\NRG\ScaledData\006620080722107.txt
006620080723108 Wrote: C:\NRG\ScaledData\006620080723108.txt
006620080724109 Wrote: C:\NRG\ScaledData\006620080724109.txt
006620080725110 Wrote: C:\NRG\ScaledData\006620080725110.txt
006620080726111 Wrote: C:\NRG\ScaledData\006620080726111.txt
006620080727112 Wrote: C:\NRG\ScaledData\006620080727112.txt
006620080728113 Wrote: C:\NRG\ScaledData\006620080728113.txt
006620080729114 Wrote: C:\NRG\ScaledData\006620080729114.txt
006620080730115 Wrote: C:\NRG\ScaledData\006620080730115.txt
006620080731116 Wrote: C:\NRG\ScaledData\006620080731116.txt
006620080801117 Wrote: C:\NRG\ScaledData\006620080801117.txt
006620080802118 Wrote: C:\NRG\ScaledData\006620080802118.txt
006620080803119 Wrote: C:\NRG\ScaledData\006620080803119.txt
006620080804120 Wrote: C:\NRG\ScaledData\006620080804120.txt
006620080805121 Wrote: C:\NRG\ScaledData\006620080805121.txt
006620080806122 Wrote: C:\NRG\ScaledData\006620080806122.txt
006620080807123 Wrote: C:\NRG\ScaledData\006620080807123.txt
006620080808124 Wrote: C:\NRG\ScaledData\006620080808124.txt
006620080809125 Wrote: C:\NRG\ScaledData\006620080809125.txt
006620080810126 Wrote: C:\NRG\ScaledData\006620080810126.txt
006620080811127 Wrote: C:\NRG\ScaledData\006620080811127.txt
006620080812128 Wrote: C:\NRG\ScaledData\006620080812128.txt
006620080813008 Wrote: C:\NRG\ScaledData\006620080813008.txt
006620080813129 Wrote: C:\NRG\ScaledData\006620080813129.txt
006620080814009 Wrote: C:\NRG\ScaledData\006620080814009.txt
006620080815010 Wrote: C:\NRG\ScaledData\006620080815010.txt
006620080816011 Wrote: C:\NRG\ScaledData\006620080816011.txt
006620080817012 Wrote: C:\NRG\ScaledData\006620080817012.txt
006620080818013 Wrote: C:\NRG\ScaledData\006620080818013.txt
006620080819014 Wrote: C:\NRG\ScaledData\006620080819014.txt
006620080820015 Wrote: C:\NRG\ScaledData\006620080820015.txt
006620080821016 Wrote: C:\NRG\ScaledData\006620080821016.txt
006620080822017 Wrote: C:\NRG\ScaledData\006620080822017.txt
006620080823018 Wrote: C:\NRG\ScaledData\006620080823018.txt
006620080824019 Wrote: C:\NRG\ScaledData\006620080824019.txt
006620080825020 Wrote: C:\NRG\ScaledData\006620080825020.txt
006620080826021 Wrote: C:\NRG\ScaledData\006620080826021.txt
006620080827022 Wrote: C:\NRG\ScaledData\006620080827022.txt
006620080828023 Wrote: C:\NRG\ScaledData\006620080828023.txt
006620080829024 Wrote: C:\NRG\ScaledData\006620080829024.txt
006620080830025 Wrote: C:\NRG\ScaledData\006620080830025.txt
006620080831026 Wrote: C:\NRG\ScaledData\006620080831026.txt
006620080901027 Wrote: C:\NRG\ScaledData\006620080901027.txt
006620080902028 Wrote: C:\NRG\ScaledData\006620080902028.txt
006620080903029 Wrote: C:\NRG\ScaledData\006620080903029.txt
006620080904030 Wrote: C:\NRG\ScaledData\006620080904030.txt
006620080905031 Wrote: C:\NRG\ScaledData\006620080905031.txt
006620080906032 Wrote: C:\NRG\ScaledData\006620080906032.txt
006620080907033 Wrote: C:\NRG\ScaledData\006620080907033.txt
006620080908034 Wrote: C:\NRG\ScaledData\006620080908034.txt
006620080909035 Wrote: C:\NRG\ScaledData\006620080909035.txt
006620080910036 Wrote: C:\NRG\ScaledData\006620080910036.txt
006620080911037 Wrote: C:\NRG\ScaledData\006620080911037.txt
006620080912038 Wrote: C:\NRG\ScaledData\006620080912038.txt
006620080913039 Wrote: C:\NRG\ScaledData\006620080913039.txt
006620080914040 Wrote: C:\NRG\ScaledData\006620080914040.txt
006620080915041 Wrote: C:\NRG\ScaledData\006620080915041.txt
006620080916042 Wrote: C:\NRG\ScaledData\006620080916042.txt
006620080917043 Wrote: C:\NRG\ScaledData\006620080917043.txt
006620080918044 Wrote: C:\NRG\ScaledData\006620080918044.txt
006620080919045 Wrote: C:\NRG\ScaledData\006620080919045.txt
006620080920046 Wrote: C:\NRG\ScaledData\006620080920046.txt
006620080921047 Wrote: C:\NRG\ScaledData\006620080921047.txt
006620080922048 Wrote: C:\NRG\ScaledData\006620080922048.txt
006620080923049 Wrote: C:\NRG\ScaledData\006620080923049.txt
006620080924050 Wrote: C:\NRG\ScaledData\006620080924050.txt
006620080925051 Wrote: C:\NRG\ScaledData\006620080925051.txt
006620080926052 Wrote: C:\NRG\ScaledData\006620080926052.txt
006620080927053 Wrote: C:\NRG\ScaledData\006620080927053.txt
006620080928054 Wrote: C:\NRG\ScaledData\006620080928054.txt
006620080929055 Wrote: C:\NRG\ScaledData\006620080929055.txt
006620080930056 Wrote: C:\NRG\ScaledData\006620080930056.txt
006620081001057 Wrote: C:\NRG\ScaledData\006620081001057.txt
006620081002058 Wrote: C:\NRG\ScaledData\006620081002058.txt
006620081003059 Wrote: C:\NRG\ScaledData\006620081003059.txt
006620081004060 Wrote: C:\NRG\ScaledData\006620081004060.txt
006620081005061 Wrote: C:\NRG\ScaledData\006620081005061.txt
006620081006062 Wrote: C:\NRG\ScaledData\006620081006062.txt
006620081007063 Wrote: C:\NRG\ScaledData\006620081007063.txt
006620081008064 Wrote: C:\NRG\ScaledData\006620081008064.txt
006620081009065 Wrote: C:\NRG\ScaledData\006620081009065.txt
006620081010066 Wrote: C:\NRG\ScaledData\006620081010066.txt
006620081011067 Wrote: C:\NRG\ScaledData\006620081011067.txt
006620081012068 Wrote: C:\NRG\ScaledData\006620081012068.txt
006620081013069 Wrote: C:\NRG\ScaledData\006620081013069.txt
006620081014070 Wrote: C:\NRG\ScaledData\006620081014070.txt
006620081015071 Wrote: C:\NRG\ScaledData\006620081015071.txt
006620081016072 Wrote: C:\NRG\ScaledData\006620081016072.txt
006620081017073 Wrote: C:\NRG\ScaledData\006620081017073.txt
006620081018074 Wrote: C:\NRG\ScaledData\006620081018074.txt
006620081019075 Wrote: C:\NRG\ScaledData\006620081019075.txt
006620081020076 Wrote: C:\NRG\ScaledData\006620081020076.txt
006620081021077 Wrote: C:\NRG\ScaledData\006620081021077.txt
006620081022078 Wrote: C:\NRG\ScaledData\006620081022078.txt
006620081023079 Wrote: C:\NRG\ScaledData\006620081023079.txt
006620081024008 Wrote: C:\NRG\ScaledData\006620081024008.txt
006620081024080 Wrote: C:\NRG\ScaledData\006620081024080.txt
006620081025009 Wrote: C:\NRG\ScaledData\006620081025009.txt
006620081026010 Wrote: C:\NRG\ScaledData\006620081026010.txt
006620081027011 Wrote: C:\NRG\ScaledData\006620081027011.txt
006620081028012 Wrote: C:\NRG\ScaledData\006620081028012.txt
006620081029013 Wrote: C:\NRG\ScaledData\006620081029013.txt
006620081030014 Wrote: C:\NRG\ScaledData\006620081030014.txt
006620081031015 Wrote: C:\NRG\ScaledData\006620081031015.txt
006620081101016 Wrote: C:\NRG\ScaledData\006620081101016.txt
006620081102017 Wrote: C:\NRG\ScaledData\006620081102017.txt
006620081103018 Wrote: C:\NRG\ScaledData\006620081103018.txt
006620081104019 Wrote: C:\NRG\ScaledData\006620081104019.txt
006620081105020 Wrote: C:\NRG\ScaledData\006620081105020.txt
006620081106021 Wrote: C:\NRG\ScaledData\006620081106021.txt
006620081107022 Wrote: C:\NRG\ScaledData\006620081107022.txt
006620081108023 Wrote: C:\NRG\ScaledData\006620081108023.txt
006620081109024 Wrote: C:\NRG\ScaledData\006620081109024.txt
006620081110025 Wrote: C:\NRG\ScaledData\006620081110025.txt
006620081111026 Wrote: C:\NRG\ScaledData\006620081111026.txt
006620081112027 Wrote: C:\NRG\ScaledData\006620081112027.txt
006620081113028 Wrote: C:\NRG\ScaledData\006620081113028.txt
006620081114029 Wrote: C:\NRG\ScaledData\006620081114029.txt
006620081115030 Wrote: C:\NRG\ScaledData\006620081115030.txt
006620081116031 Wrote: C:\NRG\ScaledData\006620081116031.txt
006620081117032 Wrote: C:\NRG\ScaledData\006620081117032.txt
006620081118033 Wrote: C:\NRG\ScaledData\006620081118033.txt
006620081119034 Wrote: C:\NRG\ScaledData\006620081119034.txt
006620081120035 Wrote: C:\NRG\ScaledData\006620081120035.txt
006620081121036 Wrote: C:\NRG\ScaledData\006620081121036.txt
006620081122037 Wrote: C:\NRG\ScaledData\006620081122037.txt
006620081123038 Wrote: C:\NRG\ScaledData\006620081123038.txt
006620081124039 Wrote: C:\NRG\ScaledData\006620081124039.txt
006620081125040 Wrote: C:\NRG\ScaledData\006620081125040.txt
006620081126041 Wrote: C:\NRG\ScaledData\006620081126041.txt
006620081127042 Wrote: C:\NRG\ScaledData\006620081127042.txt
006620081128043 Wrote: C:\NRG\ScaledData\006620081128043.txt
006620081129044 Wrote: C:\NRG\ScaledData\006620081129044.txt
006620081130045 Wrote: C:\NRG\ScaledData\006620081130045.txt
006620081201046 Wrote: C:\NRG\ScaledData\006620081201046.txt
006620081202047 Wrote: C:\NRG\ScaledData\006620081202047.txt
006620081203008 Wrote: C:\NRG\ScaledData\006620081203008.txt
006620081203009 Note: file contains updated sensor info
006620081203009 Wrote: C:\NRG\ScaledData\006620081203009.txt
006620081203048 Wrote: C:\NRG\ScaledData\006620081203048.txt
006620081204010 Wrote: C:\NRG\ScaledData\006620081204010.txt
006620081205011 Wrote: C:\NRG\ScaledData\006620081205011.txt
006620081206012 Wrote: C:\NRG\ScaledData\006620081206012.txt
006620081207013 Wrote: C:\NRG\ScaledData\006620081207013.txt
006620081208014 Wrote: C:\NRG\ScaledData\006620081208014.txt
006620081209015 Wrote: C:\NRG\ScaledData\006620081209015.txt
006620081210016 Wrote: C:\NRG\ScaledData\006620081210016.txt
006620081211017 Wrote: C:\NRG\ScaledData\006620081211017.txt
006620081212018 Wrote: C:\NRG\ScaledData\006620081212018.txt
006620081213019 Wrote: C:\NRG\ScaledData\006620081213019.txt
